Career,Prompt,Model,File Path,Sex,Gender,Labels
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/10.jpeg,Male,Man,"{'Face': 99.9999771118164, 'Head': 99.9999771118164, 'Person': 99.9999771118164, 'Photography': 99.9999771118164, 'Portrait': 99.9999771118164, 'Happy': 99.63790893554688, 'Smile': 99.63790893554688, 'Adult': 99.37188720703125, 'Male': 99.37188720703125, 'Man': 99.37188720703125, 'Body Part': 97.493408203125, 'Neck': 97.493408203125, 'Accessories': 97.44216918945312, 'Formal Wear': 97.44216918945312, 'Tie': 97.44216918945312, 'Crew Cut': 96.748046875, 'Hair': 96.748046875, 'Clothing': 56.86405944824219, 'Suit': 56.86405944824219, 'Jaw': 56.12099838256836, 'Blonde': 55.280921936035156}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/0.jpeg,Female,Woman,"{'Face': 100.0, 'Head': 100.0, 'Person': 100.0, 'Photography': 100.0, 'Portrait': 100.0, 'Happy': 99.99990844726562, 'Smile': 99.99990844726562, 'Body Part': 99.99518585205078, 'Mouth': 99.99518585205078, 'Teeth': 99.99518585205078, 'Adult': 98.73977661132812, 'Female': 98.73977661132812, 'Woman': 98.73977661132812, 'Blonde': 95.54801940917969, 'Hair': 95.54801940917969, 'Neck': 57.66204071044922}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._32_M_A.jpeg,Male,Man,"{'Face': 99.99993133544922, 'Head': 99.99993133544922, 'Person': 99.99993133544922, 'Photography': 99.99993133544922, 'Portrait': 99.99993133544922, 'Happy': 99.9979019165039, 'Smile': 99.9979019165039, 'Adult': 99.77824401855469, 'Male': 99.77824401855469, 'Man': 99.77824401855469, 'Dimples': 98.34994506835938, 'Clothing': 95.5307846069336, 'Formal Wear': 95.5307846069336, 'Suit': 95.5307846069336, 'Body Part': 66.00599670410156, 'Neck': 66.00599670410156, 'Black Hair': 57.20256423950195, 'Hair': 57.20256423950195}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._41_M_B.jpeg,Male,Man,"{'Face': 100.0, 'Head': 100.0, 'Person': 100.0, 'Photography': 100.0, 'Portrait': 100.0, 'Happy': 99.99287414550781, 'Smile': 99.99287414550781, 'Body Part': 99.94580078125, 'Neck': 99.94580078125, 'Adult': 99.72233581542969, 'Male': 99.72233581542969, 'Man': 99.72233581542969, 'Mustache': 56.524444580078125, 'Dimples': 56.44755554199219, 'Mouth': 55.57204055786133, 'Teeth': 55.57204055786133, 'Beard': 55.5135498046875, 'Clothing': 55.054195404052734, 'Shirt': 55.054195404052734}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._36_M_B.jpeg,Male,Man,"{'Face': 99.99993133544922, 'Head': 99.99993133544922, 'Person': 99.99993133544922, 'Photography': 99.99993133544922, 'Portrait': 99.99993133544922, 'Happy': 99.9996337890625, 'Smile': 99.9996337890625, 'Adult': 99.75350952148438, 'Male': 99.75350952148438, 'Man': 99.75350952148438, 'Laughing': 92.01937866210938, 'Dimples': 89.6839828491211, 'Body Part': 83.74665832519531, 'Mouth': 83.74665832519531, 'Teeth': 83.74665832519531, 'Clothing': 55.712223052978516, 'Formal Wear': 55.712223052978516, 'Suit': 55.712223052978516}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._40_M_W.jpeg,Male,Man,"{'Clothing': 100.0, 'Face': 100.0, 'Formal Wear': 100.0, 'Head': 100.0, 'Person': 100.0, 'Photography': 100.0, 'Portrait': 100.0, 'Suit': 100.0, 'Adult': 98.42632293701172, 'Male': 98.42632293701172, 'Man': 98.42632293701172, 'Mustache': 56.63126754760742, 'Happy': 55.99585723876953, 'Smile': 55.99585723876953, 'Tuxedo': 55.54638671875}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/1.jpeg,Male,Man,"{'Head': 99.99991607666016, 'Person': 99.99991607666016, 'Face': 99.99989318847656, 'Beard': 99.99908447265625, 'Happy': 99.55142974853516, 'Smile': 99.55142974853516, 'Adult': 98.85264587402344, 'Male': 98.85264587402344, 'Man': 98.85264587402344, 'Photography': 94.11312866210938, 'Portrait': 94.11312866210938, 'Dimples': 57.83115768432617, 'Clothing': 55.2938232421875, 'Formal Wear': 55.2938232421875, 'Suit': 55.2938232421875}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/11.jpeg,Male,Man,"{'Face': 99.99908447265625, 'Head': 99.99908447265625, 'Person': 99.99908447265625, 'Photography': 99.99908447265625, 'Portrait': 99.99908447265625, 'Clothing': 99.93888092041016, 'Formal Wear': 99.93888092041016, 'Suit': 99.93888092041016, 'Happy': 99.70764923095703, 'Smile': 99.70764923095703, 'Adult': 98.5199203491211, 'Male': 98.5199203491211, 'Man': 98.5199203491211, 'Beard': 92.17938995361328, 'Dimples': 87.44405364990234, 'Accessories': 60.54408645629883, 'Tie': 60.54408645629883, 'Shirt': 57.60497283935547, 'Black Hair': 56.83938980102539, 'Hair': 56.83938980102539, 'Blazer': 56.093727111816406, 'Coat': 56.093727111816406, 'Jacket': 56.093727111816406}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._31_M_W.jpeg,Male,Man,"{'Face': 100.0, 'Head': 100.0, 'Person': 100.0, 'Photography': 100.0, 'Portrait': 100.0, 'Clothing': 99.99998474121094, 'Formal Wear': 99.99998474121094, 'Suit': 99.99998474121094, 'Happy': 99.99095153808594, 'Smile': 99.99095153808594, 'Body Part': 99.86567687988281, 'Mouth': 99.86567687988281, 'Teeth': 99.86567687988281, 'Adult': 98.79378509521484, 'Male': 98.79378509521484, 'Man': 98.79378509521484, 'Accessories': 94.63202667236328, 'Tie': 94.63202667236328}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._30_M_W.jpeg,Male,Man,"{'Face': 100.0, 'Head': 100.0, 'Person': 100.0, 'Photography': 100.0, 'Portrait': 100.0, 'Clothing': 99.99977111816406, 'Formal Wear': 99.99977111816406, 'Suit': 99.99977111816406, 'Happy': 99.9696273803711, 'Smile': 99.9696273803711, 'Accessories': 99.80046081542969, 'Glasses': 99.80046081542969, 'Adult': 99.61898040771484, 'Male': 99.61898040771484, 'Man': 99.61898040771484}"
